Hour number,Solar,Wind,SolarTracking,Grid,RampDummy
4521,0.987251408,0.78305,0,0,1
4522,0.987251408,0.674045455,0,0,1
4523,0.987251408,0.595179545,0,0,1
4524,0.987251408,0.477102273,0,0,1
4525,0.987251408,0.362020909,0,0,1
4526,0.987251408,0.296684545,0,0,1
4527,0.987251408,0.272110909,0,0,1
4528,0.987251408,0.398999545,0,0,1
4529,0.974075811,0.540623182,0,0,1
4530,0.785780057,0.668537727,0,0,1
4531,0.19855819,0.811772727,0,0,1
4532,0,0.901681818,0,0,1
4533,0,0.900388182,0,0,1
4534,0,0.898696818,0,0,1
4535,0,0.903796818,0,0,1
4536,0,0.904793636,0,0,1
4537,0,0.909275455,0,0,1
4538,0,0.910318636,0,0,1
4539,0,0.904051818,0,0,1
4540,0,0.863730909,0,0,1
4541,0,0.760268182,0,0,1
4542,0.211677822,0.686844545,0,0,1
4543,0.790169769,0.534169091,0,0,1
4544,0.96641369,0.271821364,0,0,1
4545,0.987251408,0.062221818,0,0,1
4546,0.987251408,0.006879545,0,0,1
4547,0.987251408,0.011915455,0,0,1
4548,0.987251408,0.029350909,0,0,1
4549,0.987251408,0.063142727,0,0,1
4550,0.987251408,0.077216818,0,0,1
4551,0.987251408,0.107526364,0,0,1
4552,0.987251408,0.08792,0,0,1
4553,0.956625966,0.069846818,0,0,1
4554,0.76308068,0.09627,0,0,1
4555,0.181738653,0.213462727,0,0,1
4556,0,0.435265909,0,0,1
4557,0,0.74656,0,0,1
4558,0,0.847001364,0,0,1
4559,0,0.821748182,0,0,1
4560,0,0.607710455,0,0,1
4561,0,0.500945,0,0,1
4562,0,0.502952273,0,0,1
4563,0,0.369680455,0,0,1
4564,0,0.299282273,0,0,1
4565,0,0.235991364,0,0,1
4566,0.199526885,0.08147,0,0,1
4567,0.773875607,0.028820455,0,0,1
4568,0.96298993,0.078738636,0,0,1
4569,0.987251408,0.162413636,0,0,1
4570,0.987251408,0.167850909,0,0,1
4571,0.987251408,0.191115455,0,0,1
4572,0.987251408,0.190180455,0,0,1
4573,0.987251408,0.211394545,0,0,1
4574,0.987251408,0.187285,0,0,1
4575,0.987251408,0.134311364,0,0,1
4576,0.987251408,0.054735455,0,0,1
4577,0.949072524,0.036275909,0,0,1
